karachi	kɚɹˈɑːɹtʃi
amur	ˈæmɚ
argun	ˈɑːɹɡʌn
mekong	mˈɛkɑːŋ
mackenzie	məkˈɛnzi
finlay	fˈɪnleɪ
tocantins	tˈɑːkɐntˌɪnz
araguaia	ˈæɹɐɡjˌuːeɪə
volga	vˈɑːlɡə
shatt al-arab	ʃˈæt ˈælˈæɹəb
euphrates	juːfɹˈeɪɾiːz
mamoré	mˌæmɔːɹˈeɪ
grande	ɡɹˈænd
caine	kˈeɪn
rocha	ɹˈɑːtʃə
purús	pjˈʊɹɹəs
yukon	jˈuːkən
são francisco	sˈaʊ fɹænsˈɪskoʊ
syr darya	sɚ dˈɑːɹɹɪə
naryn	nˈɑːɹɹɪn
rio grande	ɹˈiːoʊ ɡɹˈænd
lower tunguska	lˈoʊɚ tˈʌŋɡʌskə
brahmaputra	bɹˈɑːmɐpˌʌtɹə
tsangpo	tsˈæŋpoʊ
zambezi	zˈæmbɛzi
vilyuy	vˈɪljuːi
ganges	ɡˈændʒᵻz
hooghly	hˈuːɡli
amu darya	ˈɑːmuː dˈɑːɹɹɪə
japurá	dʒˌæpjʊɹɹˈɑː
saskatchewan	sˈæskɐtʃˌuːən
pilcomayo	pˈɪlkəmˌeɪoʊ
upper ob	ˌʌpɚɹ ˈɑːb
juruá	dʒjˌʊɹɹəˈɑː
olenyok	ˈoʊlnɪˌɑːk
dnieper	dnˈiːpɚ
aldan	ˈɔːldən
ubangi	jˈuːbæŋɡi
uele	jˈuːl
zhu jiang	ʒˈuː dʒjˈɑːŋ
ayeyarwady	ˈaɪaɪˌɑːɹwɑːdi
kasai	kˈæsaɪ
allegheny	ˈælɪɡhˌɛni
orinoco	ˌɔːɹɪnˈoʊkoʊ
tarim	tˈɑːɹɹɪm
xingu	zˈɪŋɡuː
northern salado	nˈɔːɹðɚn sælˈɑːdoʊ
vitim	vˈɪɾɪm
songhua	sˈɔŋhjuːə
tapajós	tæpˈɑːdʒoʊz
stony tunguska	stˈoʊni tˈʌŋɡʌskə
kama	kˈɑːmə
limpopo	lɪmpˈoʊpoʊ
guaporé	ɡwˌɑːpɔːɹˈeɪ
indigirka	ɪndˈɪɡɜːkə
murrumbidgee	mˈɜːɹəmbˌɪdʒ
churchill	tʃˈɜːtʃɪl
khatanga	kɑːtˈæŋɡə
okavango	ˌɑːkɐvˈæŋɡoʊ
platte	plˈæt
tobol	tˈɑːbɑːl
shebelle	ʃɛbˈɛl
içá	ɪsˈɑː
magdalena	mˈæɡdeɪlnə
upper yenisei	ˌʌpɚ jˈɛnaɪsˌaɪ
godavari	ɡˌɑːdɐvˈɑːɹɹi
guapay	ɡwˈɑːpeɪ
belaya	bᵻlˈeɪə
marañón	mˌæɹɐnjˈɑːn
dniester	dnˈiːstɚ
benue	bᵻnˈuː
ili	ˈɪli
warburton	wˈɔːɹbɜːtən
georgina	dʒɔːɹdʒˈiːnə
sutlej	sˈʌtlɛdʒ
yamuna	jæmˈuːnə
vyatka	vˈaɪætkə
fraser	fɹˈeɪsɚ
mtkvari	ˌɛmtˌiːkˈeɪvˈɑːɹɹi
brazos	bɹˈɑːzoʊz
cauca	kˈɔːkə
liao	lˈaɪəˌoʊ
yalong	jɐlˈɔŋ
iguaçu	ˌɪɡjuːˈɑːsuː
olyokma	ˈɑːlɪˌɑːkmə
northern dvina	nˈɔːɹðɚn dəvˈiːnə
sukhona	sʌkhˈoʊnə
iriri	ɪɹˈiəɹi
narmada	nɑːɹmˈɑːdə
lomami	ləmˈɑːmi
lerma	lˈɜːmə
rio grande de santiago	ɹˈiːoʊ ɡɹˈænd də sˌæntɪˈɑːɡoʊ
elbe	ˈɛlbə
vltava	vˌiːˈɛltˈɑːvə
zeya	zˈeɪə
juruena	dʒjˈʊɹɹuːnə
upper mississippi	ˌʌpɚ mˌɪsɪsˈɪpi
athabasca	ˈæθɐbˌæskə
north saskatchewan	nˈɔːɹθ sˈæskɐtʃˌuːən
vaal	vˈɑːl
kızıl	kˈɪzɪl
chindwin	tʃˈɪndwɪn
sankuru	sˈæŋkjʊɹɹˌuː
kapuas	kˈæpjuːəz
desna	dᵻsnˈæ
helmand	hˈɛlmænd
madre de dios	mˈædɚ də dˈiːoʊz
tietê	tˈaɪɾɛɹ
vychegda	vˈɪtʃɛɡdə
cimarron	sˈɪmæɹən
anadyr	ˈænædɚ
paraíba do sul	pˌæɹəˈiːbə dˈuː sˈʌl
jialing river	dʒˈaɪəlɪŋ ɹˈɪvɚ
huallaga	hjˌuːɐlˈɑːɡə
kwango	kwˈæŋɡoʊ
draa	dɹˈɑː
chenab	tʃˈɛnæb
yellowstone	jˈɛloʊstˌoʊn
ghaghara	ɡæɡhˈɑːɹɹə
huai	hjˈuːaɪ
aras	ˈɑːɹɹəz
seversky donets	sˈɛvɚski dˈɑːnɪts
bermejo	bɜːmˈiːdʒoʊ
guaviare	ɡwˈɑːvaɪɚ
kuskokwim	kˈʌskɑːkwɪm
tennessee	tˌɛnəsˈiː
vistula	vˈɪstʃələ
aruwimi	ˈæɹuːwˌɪmi
daugava	dɔːɡˈɑːvə
loire	lwˈɑːɹ
essequibo	ˌɛsɪkwˈiːboʊ
khoper	kˈoʊpɚ
tagus	tˈeɪɡəs
american samoa	ɐmˈɛɹɪkən sæmˈoʊə
connecticut	kənˈɛɾɪkət
hawaii	həwˈaɪiː
idaho	ˈaɪdəhˌoʊ
massachusetts	mˌæsɐtʃˈuːsɪts
minnesota	mˌɪnɪsˈoʊɾə
nebraska	nəbɹˈæskə
new mexico	nˈuː mˈɛksɪkˌoʊ
north carolina	nˈɔːɹθ kˌæɹəlˈaɪnə
northern mariana islands	nˈɔːɹðɚn mˌæɹiˈɑːnə ˈaɪləndz
oregon	ˈɔːɹɪɡən
pennsylvania	pˌɛnsɪlvˈeɪniə
puerto rico	pwˈɛɹɾoʊ ɹˈiːkoʊ
south carolina	sˈaʊθ kˌæɹəlˈaɪnə
texas	tˈɛksəs
u.s. virgin islands	jˈuː.ˈɛs. vˈɜːdʒɪn ˈaɪləndz
wisconsin	wɪskˈɑːnsɪn
wyoming	waɪˈoʊmɪŋ
arashiyama	ˌæɹɐʃɪjˈɑːmə
everest	ˈɛvɚɹɪst
matterhorm	mˈæɾɚhˌɔːɹm
kilimanjaro	kˌɪlɪmɐndʒˈæɹoʊ
denali	dɛnˈɑːli
aconcagua	ˌækəŋkˈɑːɡwə
iguazu	ˌɪɡjuːˈɑːzuː
moher	mˈoʊhɚ
uluru	ˈuːlʊɹɹˌuː
yosemite	joʊsˈɛməɾi
tugela	tuːdʒˈɛlə
himalayas	hˌɪməlˈeɪəz
andes	ˈændiːz
aaliyah	əlˈiːə
abdul	ˈæbdʊl
$onlys	dˈɑːlɚɹ ˈoʊnliz
aguilera	ˌæɡiːlˈɛɹə
ahab	ˈeɪhæb
alana	ɐlˈænə
aled	ˈælɛd
alex	ˈælɪks
alfie	ˈælfi
alibaba	ˌælɪbˈɑːbə
alise	ɐlˈiːs
allyson	ˈælɪsən
alucard	ˈæluːkˌɑːɹd
alycen	ˈælɪsən
alyssa	ɐlˈɪsə
amando	ɐmˈændoʊ
andrea	ˈændɹiə
annamaria	ˌænəmɚɹˈiːə
annise	ɐnˈiːs
anya	ˈænjə
ares	ˈɛɹiːz
arianna	ˌæɹɪˈɑːnə
astley	ˈæstli
avers	ˈeɪvɚz
ayane	eɪˈæn
baez	baɪˈɛz
bambi	bˈæmbiː
barack	bɚɹˈɑːk
benoit	bɛnwˈɑː
bjarne	bjˈɑːɹnə
blanche	blˈɑːnʃ
bremen	bɹˈɛmən
brianna	bɹɪˈænə
brien	bɹˈaɪən
caiseal	kˈæʃəl
camille	kɐmˈiːl
cassey	kˈeɪsi
cesar	seɪzˈɑːɹ
cheney	tʃˈeɪni
cher	ʃˈɛɹ
cheri	ʃɛɹˈiː
cherie	ʃɛɹˈiː
cheryl	ʃˈɛɹəl
chevelle	ʃəvˈɛl
chloe	klˈoʊi
chris	kɹˈɪs
cloe	klˈoʊi
conan	kˈoʊnən
connell	kˈɑːnəl
connor	kˈɑːnɚ
crichton	kɹˈaɪtən
cristen	kɹˈɪstən
danelle	dɐnˈɛl
danilo	dɐnˈiːloʊ
declan	dˈɛklɐn
dimitris	dᵻmˈiːtɹɪs
dengler	dˈɛŋɡlɚ
denise	dənˈiːs
devin	dˈɛvɪn
di	dˈaɪ
dmitri	dəmˈiːtɹi
donaghy	dɑːnhˈiː
draco	dɹˈeɪkoʊ
duana	dwˈɑːnə
dvina	dəvˈiːnə
ebenezar	ˌɛbənˈiːzɚ
einín	ˈɛniːn
elice	ᵻlˈiːs
elijah	ᵻlˈaɪdʒə
elise	ᵻlˈiːz
elouise	ˌɛluːwˈiːz
emerson	ˈɛmɚsən
emile	eɪmˈiːl
enrique	ɛnɹˈiːkeɪ
etheridge	ˈɛθɹɪdʒ
etienne	ˌɛɾɪˈɛn
euler	ˈɔɪlɚ
evette	ᵻvˈɛt
fainne	fˈænʲə
felipe	fᵻlˈiːpeɪ
filipe	fᵻlˈiːp
freda	fɹˈiːdə
fírinne	fˈiːɹɪnʲə
gareth	ɡˈæɹəθ
geraint	ɡˈɛɹaɪnt
gerhard	ɡˈɛɹhɑːɹt
giani	dʒjˈɑːni
gillespie	ɡᵻlˈɛspi
giordino	dʒɔːɹdˈiːnoʊ
godfried	ɡˈɑːdfɹiːd
gruffydd	ɡɹˈɪfɪθ
guido	ɡwˈiːdoʊ
guillaume	ɡiːjˈoʊm
hadrian	hˈeɪdɹiən
halima	hɐlˈiːmə
hamish	hˈeɪmɪʃ
harriet	hˈæɹiət
hatsya	hætsˈaɪə
hecate	hˈɛkətˌeɪ
hekate	hˈɛkətˌeɪ
hermann	hˈɜːmən
horace	hˈɔːɹəs
huw	hjˈuː
iain	ˈiːən
ian	ˈiːən
igor	ˈiːɡɔːɹ
imogene	ˈɪmədʒən
ingrid	ˈɪŋɡɹɪd
isabela	ˌɪzəbˈɛlə
isobel	ˈɪzəbˌɛl
isiah	aɪzˈaɪə
jamal	dʒɐmˈɑːl
janine	dʒənˈiːn
jarrad	dʒˈæɹəd
javier	hˌɑːvɪˈɛɹ
jerard	dʒɚɹˈɑːɹd
jesse	dʒˈɛsi
jolene	dʒəlˈiːn
karene	kɚɹˈiːn
katherine	kˈæθɹɪn
katrina	kɐtɹˈiːnə
keighli	kˈeɪli
keanu	kɪˈɑːnuː
leann	liːˈæn
leanne	liːˈæn
(le ann)	(liːˈæn)
lelaine	lɛlˈeɪn
lenore	lᵻnˈɔːɹ
leola	liːˈoʊlə
leroy	lˈiːɹɔɪ
liam	lˈiːəm
llewellyn	lʊwˈɛlɪn
llywelyn	lʊwˈɛlɪn
loinnir	lˈʌniə
luciano	luːtʃˈɑːnoʊ
madeleine	mˈædəlɪn
madelyn	mˈædəlɪn
maeve	mˈeɪv
makenna	məkˈɛnə
malachi	mˈæləkˌaɪ
margaret	mˈɑːɹɡɹət
matilda	mɐtˈɪldə
matteo	mɐtˈeɪoʊ
maxine	mæksˈiːn
megan	mˈɛɡən
mellisa	məlˈɪsə
mellissa	məlˈɪsə
meredith	mˈɛɹədˌɪθ
michaela	mᵻkˈeɪlə
michele	mɪʃˈɛl
mikhail	mˈɪkaɪl
misha	mˈiːʃə
moet	moʊˈɛt
moët	moʊˈɛt
mohamed	moʊhˈæmɪd
muhammad	məhˈæmɪd
monaghan	mˈɑːnəhˌæn
montresor	mɔntɹˈɛsɚ
nadia	nˈɑːdjə
nadine	neɪdˈiːn
nadja	nˈɑːdjə
natasha	nɐtˈæʃə
nathalie	nˈæɾəli
nicci	nˈɪki
nicola	nˈɪkələ
nicole	nɪkˈoʊl
nicosia	nˌɪkəsˈiːə
pal@s	pˈæl æt ˈɛs
pepe	pˈɛpeɪ
persephone	pɚsˈɛfəni
rachael	ɹˈeɪtʃəl
rae	ɹˈeɪ
rafaella	ɹˌɑːfaɪˈɛlə
rashid	ɹɑːʃˈiːd
rhys	ɹˈiːs
rihanna	ɹɪˈɑːnə
roni	ɹˈɑːni
salman	sɐlmˈɑːn
(santa claus)	(sˈæntə klˈɔːz)
sarisa	sɚɹˈɪsə
selene	səlˈiːni
seumus	ʃˈuːməs
simon	sˈaɪmən
sinead	ʃɪnˈeɪd
sinéad	ʃɪnˈeɪd
siobhan	ʃɪvˈɔːn
siobhán	ʃɪvˈɔːn
sonia	sˈɑːnjə
sophie	sˈoʊfi
stevie	stˈiːvi
tatiana	tɑːtjˈɑːnə
terese	tɚɹˈeɪz
triani	tɹiːˈæni
trina	tɹˈiːnə
vaughan	vˈɔːn
wallace	wˈɑːlɪs
wilhelmina	wˌɪlhəlmˈiːnə
wyatt	wˈaɪət
yves	ˈiːv
zia	zˈiə
zoe	zˈoʊi
zoë	zˈoʊi
acura	ˈækjʊɹə
advil	ˈædvɪl
allgemeine	ˈælɡəmˌaɪmə
aquino	ɐkˈiːnoʊ
asimov	ˈæzᵻmˌɑːf
assad	ɐsˈɑːd
atropos	ˈætɹəpˌɑːs
attlee	ˈætliː
azkaban	ˈæzkɐbˌæn
batuta	bɑːtˈuːɾɑː
baumer	bˈaʊmɚ
bede	bˈiːd
beethoven	bˈeɪtoʊvən
borell	bɚɹˈɛl
boswell	bˈɑːzwɛl
bouchard	buːʃˈɑːɹd
cabrillo	kɐbɹˈiːoʊ
campbell	kˈæmbəl
capone	kɐpˈoʊn
chartier	ʃˌɑːɹɾiˈeɪ
chavez	tʃˈɑːvɛz
cialis	siːˈælɪs
compton	kˈɑːmptən
connally	kˈɑːnæli
connelly	kˈɑːnəli
connolly	kˈɑːnoʊli
conti	kˈɑːnti
coor	kˈʊɹ
corazon	kˈɔːɹəzˌɑːn
cthulhu	kəθˈuːɬuː
chrysler	kɹˈaɪslɚ
daimler	dˈaɪmlɚ
da vinci)	dɐvˈɪntʃi)
dante	dˈɑːnteɪ
datsun	dˈɑːtsən
decatur	dᵻkˈeɪɾɚ
degas	dˈeɪɡɑː
desiree	dˌɛzɚɹˈeɪ
deslauriers	dᵻlˈɔːɹɪˌeɪ
deveraux	dˈɛvɚɹˌoʊ
díaz	dˈiːɐs
digiorno	dᵻʒˈɔːɹnoʊ
dimaggio	dᵻmˈɑːʒɪˌoʊ
di maggio)	dᵻmˈɑːʒɪˌoʊ)
disney	dˈɪzni
dolby	dˈoʊlbi
dolce	dˈɑːltʃeɪ
dolittle	dˈuːlɪɾəl
donatello	dˌɑːnətˈɛloʊ
douglass	dˈʌɡləs
drysdale	dɹˈaɪsdeɪl
dulles	dˈʌləs
dupuis	duːpwˈiː
dvorak	dəvˈɔːɹʒæk
earp	ˈɜːp
ellis	ˈɛlɪs
emory	ˈɛmɚɹi
exxon	ˈɛksɑːn
fernandes	fɚnˈɑːndɛs
folger	fˈoʊldʒɚ
forrester	fˈɔːɹᵻstɚ
forster	fˈɔːɹstɜː
foushee	fuːʃˈeɪ
gallagher	ɡˈæləɡɚ
gandhi	ɡˈɑːndi
garcia	ɡɑːɹsˈiːɐ
gauguin	ɡoʊɡˈæn
genghis	dʒˈɛŋɡɪs
geico	ɡˈaɪkoʊ
gevalia	dʒəvˈɑːliə
ghandhi	ɡˈɑːndi
gibson	ɡˈɪbsən
gliese	ɡlˈiːzə
godzilla	ɡɑːdzˈɪlə
gogh	ɡˈoʊ
grigio	ɡɹiːʒˈoʊ
guinness	ɡˈɪnɪs
gutierrez	ɡuːtjˈɛɹɛz
hagen	hˈeɪɡən
hamid	hæmˈiːd
harison	hˈæɹɪsən
haydn	hˈaɪdən
herodotus	hɪɹˈɑːdəɾəs
herrera	hɚɹˈɛɹə
hormel	hɔːɹmˈɛl
ibuprofen	ˌaɪbjuːpɹˈoʊfən
ikea	aɪkˈiːə
jacobi	dʒɐkˈoʊbi
jamison	dʒˈeɪmɪsən
jawaharlal	dʒəvɐhˈɑːɹlɑːl
jerrard	dʒɚɹˈɑːɹd
jimenez	hɪmˈɛnɛz
kapoor	kæpˈʊɹ
kendall	kˈɛndəl
kendell	kˈɛndəl
khrushchev	kɹˈuːstʃɛf
khruschev	kɹˈuːstʃɛf
kroger	kɹˈoʊɡɚ
kukulcan	kˌuːkuːkˈɑːn
kumar	kuːmˈɑːɹ
kyi	tʃˈiː
kyocera	kˌaɪəsˈiəɹə
lamar	lɐmˈɑːɹ
lamaze	lɐmˈɑːz
levine	ləvˈiːn
linkedin	lɪŋkt ˈɪn
louvre	lˈuːv
lussier	lˈʌsɪˌeɪ
machen	mˈeɪtʃᵻn
mackenna	məkˈɛnə
maguire	məɡwˈaɪɚ
malone	mɐlˈoʊn
mc namara)	mˌæknəmˈɑːɹɹə)
maurya	mˈaʊɹiə
mefistofele	mˌɛfɪstˈɑːfəlˌiː
michelangelo	mˌaɪkəlˈændʒəlˌoʊ
microsoft	mˈaɪkɹəsˌɑːft
minet	mɪnˈeɪ
monet	moʊnˈeɪ
montague	mˈɑːntəɡjˌuː
moriarty	mˌɔːɹɪˈɑːɹɾi
mossad	moʊsˈɑːd
mozart	mˈoʊtsɑːɹt
mukherjee	mʊkˈɜːdʒiː
munoz	mˈuːnjoʊz
mysql	mˌaɪ ɛskjuːˈɛl
navasca	nɐvˈæskə
nehru	nˈɛɹuː
nescafe	nˈɛskæfˌeɪ
nginx	ˈɛndʒɪn ˌɛks
nibelung	nˈaɪblʌŋ
nichol	nˈɪkəl
nicholson	nˈɪkəlsən
nicodemus	nˌɪkədˈiːməs
nietzsche	nˈiːtʃə
niro	nˈiəɹoʊ
nissan	nˈɪsɑːn
nobel	noʊbˈɛl
nvaccess	ˈɛnviːˌæksɛs
oreilly	oʊɹˈaɪli
ortiz	ɔːɹtˈiːz
ouya	ˈuːjə
perez	pɚɹˈɛz
pérez	pˈɛɹɛz
perot	pɛɹˈoʊ
peugeot	pjuːʒˈoʊ
pius	pˈaɪəs
plantagenet	plæntˈædʒᵻnət
pokemon	pˈoʊkeɪmˌɑːn
porsche	pˈɔːɹʃ
posner	pˈoʊznɚ
quijote	kiːhˈoʊɾeɪ
radeon	ɹˈeɪdiːˌɑːn
ramirez	ɹɐmˈɪɹɛz
reagan	ɹˈeɪɡən
reid	ɹˈiːd
reineke	ɹˈaɪnɪkə
reinhold	ɹˈaɪnhoʊld
renee	ɹənˈeɪ
reuter	ɹˈɔɪɾɚ
rivera	ɹɪvˈɛɹə
rizzoli	ɹɪzˈoʊli
rhiannon	ɹiːˈænən
rodrigues	ɹɑːdɹˈiːɡɛz
rohypnol	ɹoʊhˈɪpnɑːl
rojas	ɹˈoʊhɑːs
rowling	ɹˈaʊlɪŋ
ruiz	ɹuːˈiːz
sachs	sˈæks
sanchez	sˈæntʃɛz
scalia	skɐlˈiːə
scheherazade	ʃəhˈɛɹəzˌɑːd
shakur	ʃɐkˈʊɹ
shinola	ʃaɪnˈoʊlə
sturgis	stˈɜːdʒɪs
subaru	sˈuːbɚɹˌuː
sullivan	sˈʌlɪvən
symantec	sɪmˈæntɛk
texaco	tˈɛksəkˌoʊ
thoreau	θəɹˈoʊ
trevathan	tɹᵻvˈeɪθən
truphone	tɹˈuːfoʊn
tupy	tˈuːpi
tutankhamen	tˌuːtəŋkˈɑːmən
tycho	tˈaɪkoʊ
tyr	tˈɪɹ
tzu	tsˈuː
urquhart	ˈɜːkɑːɹt
versace	vɚsˈɑːtʃi
vicodin	vˈaɪkədɪn
volkswagen	vˈoʊlksvˌɑːɡən
vries	vɹˈiːs
wegener	vˈeɪɡənɚ
wii	wˈiːː
wiimote	wˈiːmoʊt
willis	wˈɪlɪs
xeon	zˈiːɑːn
yaesu	jˈeɪsuː
yamaha	jˈɑːməhˌɑː
younge	jˈʌŋ
zhivago	ʒɪvˈɑːɡoʊ
zoltán	zˈoʊltɑːn
zune	zˈuːn
antiguans	ˌæntɪɡwˈɑːnz
bahraini	bˈɑːɹeɪni
bangladeshi	bˌæŋɡlɐdˈɛʃi
barbudans	bˈɑːɹbjuːdənz
batswana	bætswˈɑːnə
belarusian	bˌɛlɚɹˈuːsiən
belizean	bᵻlaɪzˈiən
beninese	bᵻnaɪnˈiːz
bruneian	bɹˈʌneɪən
burkinabe	bˈɜːkɪnˌeɪb
burundian	bjʊɹɹˈʌndiən
cameroonian	kˌæmɚɹˈuːniən
cape verdean	kˈeɪp vˈɜːdiən
chadian	tʃˈeɪdiən
comoran	kəmˈɔːɹən
costa rican	kˈɔstɚ ɹˈɪkən
cypriot	sˈɪpɹɪət
ecuadorean	ˈɛkwɐdˌɔːɹiən
emirian	ɛmˈɪɹiən
gabonese	ɡˌæboʊnˈiːz
gambian	ɡˈæmbiən
ghanaian	ɡˈæneɪən
guinea-bissauan	ɡˈɪnibˈɪsɔːən
guyanese	ɡˌaɪənˈiːz
herzegovinian	hˌɜːzɪɡəvˈɪniən
i-kiribati	aɪkˌɪɹɪbˈɑːɾi
iranian	ɪɹˈeɪniən
ivorian	aɪvˈɔːɹiən
japanese	dʒˌæpənˈiːz
kazakhstani	kˌæzɐkhstˈɑːni
kenyan	kˈɛnjən
kuwaiti	kuːwˈeɪɾi
kyrgyz	kˈɜːrɡɪz
lebanese	lˌɛbənˈiːz
liechtensteiner	lˈɪxtənstˌaɪnɚ
lithuanian	lˌɪθjuːˈeɪniən
luxembourger	lˈʌksəmbˌɜːɡɚ
macedonian	mˌæsɪdˈoʊniən
malawian	mælˈæwiən
malian	mˈeɪliən
marshallese	mˈɑːɹʃɐlˌiːz
mauritanian	mˌɔːɹɪtˈeɪniən
micronesian	mˈaɪkɹoʊnˈiːʒən
moldovan	mˈoʊldəvˌæn
mosotho	məsˈɑːθoʊ
motswana	mətswˈɑːnə
namibian	næmˈɪbiən
nauruan	nˈɔːrjuːən
ni-vanuatu	nˈaɪvˌænjuːˈɑːɾuː
nigerien	naɪdʒˈiəɹɪən
pakistani	pˌækɪstˈæni
palauan	pˈælɔːən
panamanian	pˌænɐmˈeɪniən
papua new guinean	pˈæpjuːə nˈuː ɡˈɪniən
polish	pˈoʊlɪʃ
qatari	kætˈɑːɹɹi
romanian	ɹoʊmˈeɪniən
rwandan	ɹʊˈændən
salvadoran	sˈælvɐdˌɔːɹən
san marinese	sˌæn mɚɹaɪnˈiːz
sao tomean	sˈaʊ toʊmˈiən
senegalese	sˌɛnɪɡeɪlˈiːz
seychellois	sˈeɪtʃɪlwˌɑː
sierra leonean	siːˈɛɹə lˈiəniən
singaporean	sˈɪŋɡɐpˌɔːɹiən
somali	səmˈɑːli
sri lankan	sɹˌiː lˈæŋkən
surinamer	sˈɜːɹɪnˌeɪmɚ
taiwanese	tˌaɪwənˈiːz
tanzanian	tˈænzɐnˈiən
togolese	tˌɑːɡoʊlˈiːz
tuvaluan	tˈuːvɐljˌuːən
uzbekistani	ˌʊzbɛkɪstˈæni
zambian	zˈæmbiən
zimbabwean	zɪmbˈɑːbwɪən
tobagonian	toʊbˈæɡənˌiən
nevisian	nɛvˈɪʒən
kittian	kˈɪtʃən
europe	jˈʊɹɹəp
asia	ˈeɪʒə
aramco	æɹˈæmkoʊ
alphabet (google)	(ɡˈuːɡəl)
tesla	tˈɛslə
hathaway	hˈæθəwˌeɪ
meta (facebook)	(fˈeɪsbʊk)
johnson	dʒˈɑːnsən
unitedhealth	juːnˈaɪɾᵻd hˈɛlθ
tencent	tˈɛnsənt
mobil	mˈoʊbɪl
samsung	sˈæmsʌŋ
procter	pɹˈɑːktɚ
mastercard	mˈæstɚkˌɑːɹd
walmart	wˈɔlmɑːɹt
chevron	ʃˈɛvɹɑːn
kweichow	kwˈaɪkaʊ
moutai	mˈaʊɾaɪ
nestlé	nɛslˈeɪ
pfizer	fˈaɪzɚ
roche	ɹˈɑːtʃ
eli	ᵻli
coca-cola	kˈoʊkəkˈoʊlə
abbvie	ˈæb vˈaɪ
novo	nˈoʊvoʊ
nordisk	nˈɔːɹdɪsk
merck	mˈɜːk
pepsico	pˈɛpsɪkˌoʊ
industries	ˈɪndʌstɹiz
toyota	tɔɪˈoʊɾə
broadcom	bɹˈɔːdkɑːm
verizon	vɛɹˈaɪzən
astrazeneca	ˈæstɹeɪznˌɛkə
abbott	ˈæbət
laboratories	lˈæbɹətˌɔːɹiz
novartis	nˈoʊvəəɾiz
comcast	kˈɑːmkæst
costco	kˈɔstkoʊ
danaher	dˈænæhɚ
cisco	sˈɪskoʊ
l'oréal	ˈɛlˈɔːɹeɪəl
mcdonald	mək dˈɑːnəld
intel	ˈɪntɛl
bristol-myers squibb	bɹˈɪstəlmˈaɪɚz
t-mobile us	tˈiːmˈoʊbəl
linde	lˈɪnd
salesforce	sˈeɪlsfɔːɹs
tata	tˈɑːɾə
consultancy	kənsˈʌltənsi
services	sˈɜːvɪsᵻz
instruments	ˈɪnstɹəmənts
agricultural	ˌæɡɹɪkˈʌltʃɚɹəl
prosus	pɹˈoʊsəs
t	tˈiː
totalenergies	tˈoʊɾəl ˈɛnɚdʒiz
nextera	nˈɛkstɚɹə
energy	ˈɛnɚdʒi
conocophillips	kənˈoʊkoʊ fˈɪlɪps
medtronic	mɛdtɹˈɑːnɪk
sanofi	sænˈoʊfi
technologies	tɛknˈɑːlədʒiz
petrochina	pˈɛtɹoʊ tʃˈaɪnə
amgen	ˈæmdʒən
fomento	foʊmˈɛntoʊ
fomento económico mexicano	ˌiːkənˈɑːmɪkˌoʊ
mexicano	mˌɛksɪkˈɑːnoʊ
meituan	mˈeɪɾuːən
honeywell	hˈʌnɪwˌɛl
lowe's companies	lˈoʊz
companies	kˈʌmpəniz
s	ˈɛs
p	pˈiː
hermès	hˈɜːmz
equinor	ˈɛkwɪnɚ
lockheed	lˈɑːkhiːd
tinto	tˈɪntoʊ
glaxosmithkline	ɡlˈæksoʊ smˈɪθ klˈaɪn
unilever	jˌuːnɪlˈɛvɚ
anheuser-busch inbev	ˈænhjuːsɚbˈʌʃ
inbev	ˈɪnbɛv
sony	sˈoʊni
gazprom	ɡˈæzpɹɑːm
telegraph	tˈɛlᵻɡɹˌæf
petrobras	pˈɛtɹɑːbɹəz
diageo	dˌaɪədʒˈeɪoʊ
dior	dɪˈɔːɹ
deere	dˈɪɹ
citigroup	sˈɪɾɪɡɹˌuːp
siemens	sˈiːmɛnz
deutsche	dˈɔɪtʃ
telekom	tˈɛlᵻkəm
rajhi	ɹˈɑːdʒhaɪ
altria	ˈɔːltɹiə
paypal	pˈeɪ pˈæl
shenhua	ʃˈɛnhjuːə
blackrock	blˈæk ɹˈɑːk
wuliangye	wˈuːliəŋˌaɪ
enbridge	ɛnbɹˈɪdʒ
airbus	ˈɛɹbʌs
prologis	pɹoʊlˈoʊɡɪz
stryker	stɹˈaɪkɚ
chubb	tʃˈʌb
allianz	ɐlˈɪænts
servicenow	sˈɜːvɪs nˈaʊ
jingdong	dʒˈɪŋdɑːŋ
mondelez	mɔndˈɛlɛz
glencore	ɡlˈɑːŋkɔːɹ
estee	ˈɛstiː
analog	ˈænəlˌɑːɡ
devices	dɪvˈaɪsᵻz
hapag-lloyd	hˈæpæɡlˈɔɪd
netflix	nˈɛtflɪks
liquide	lˈɪkwaɪd
gilead	ɡˈɪliˌæd
sciences	sˈaɪənsᵻz
infosys	ɪnfˈoʊziz
communications	kəmjˌuːnɪkˈeɪʃənz
brookfield	bɹˈʊkfiːld
scotiabank	skˈoʊʃɪəbˌæŋk
zoetis	zˈoʊɾiz
mclennan	mək lˈɛnən
bancorp	bˈæŋkɔːɹp
resources	ɹᵻsˈɔːɹsᵻz
regeneron	ɹiːdʒˈɛnɚɹən
pharmaceuticals	fˌɑːɹmɐsˈuːɾɪkəlz
sinopec	sˈɪnoʊpək
iberdrola	ˌaɪbɚdɹˈoʊlə
mercedes-benz	mɜːsˈeɪdiːzbˈɛnts
mitsubishi	mˌɪtsuːbˈiːʃi
boeing	bˈoʊɪŋ
becton	bˈɛktən
